summary,components,story_points,priority,issuetype,created_year,created_month,num_comments,project,status,created_date,key,created_dayofweek,num_components,resolution_days,assignee,num_labels
Test that `UPDATE_STATE` of a resource provider doesn't have unwanted side-effects in master or agent,,3.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-15,MESOS-8445,0,0,3.03,Jan Schlicht,1
GC failure causes agent miss to detach virtual paths for the executor's sandbox,agent,2.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-14,MESOS-8444,6,1,2.72,Qian Zhang,0
Source tree contains generated endpoint documentation,documentation,1.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-12,MESOS-8442,4,1,42.09,Benjamin Mahler,0
Clean up endpoint socket if the container daemon is destroyed while waiting.,,3.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-10,MESOS-8429,2,0,236.91,Chun-Hung Hsiao,2
SLRP recovery tests leak file descriptors.,,2.0,Major,Bug,2018,1,5,Mesos,Resolved,2018-01-10,MESOS-8428,2,0,469.03,Benjamin Bannier,2
Clean up residual CSI endpoints for SLRP tests.,,2.0,Major,Improvement,2018,1,2,Mesos,Resolved,2018-01-10,MESOS-8427,2,0,28.32,Chun-Hung Hsiao,2
Speed up SLRP tests,,2.0,Major,Improvement,2018,1,3,Mesos,Resolved,2018-01-10,MESOS-8426,2,0,28.32,Chun-Hung Hsiao,2
Validation for resource provider config agent API calls.,,2.0,Major,Bug,2018,1,1,Mesos,Resolved,2018-01-10,MESOS-8425,2,0,268.2,Chun-Hung Hsiao,2
Test that operations are correctly reported following a master failover,master,3.0,Major,Task,2018,1,5,Mesos,Resolved,2018-01-10,MESOS-8424,2,1,40.16,Jan Schlicht,1
Master's UpdateSlave handler not correctly updating terminated operations,master,5.0,Blocker,Bug,2018,1,4,Mesos,Resolved,2018-01-10,MESOS-8422,2,1,3.02,Benjamin Bannier,1
Test that operation status updates are retried after being dropped en-route to the master.,,3.0,Major,Task,2018,1,1,Mesos,Resolved,2018-01-09,MESOS-8420,1,0,10.04,Gastón Kleiman,1
RP manager incorrectly setting framework ID leads to CHECK failure,agent,1.0,Blocker,Bug,2018,1,2,Mesos,Resolved,2018-01-09,MESOS-8419,1,1,2.52,Greg Mann,1
CHECK failure if trying to recover nested containers but the framework checkpointing is not enabled.,containerization,5.0,Blocker,Bug,2018,1,4,Mesos,Resolved,2018-01-08,MESOS-8416,0,1,98.81,Gilbert Song,2
Add an SLRP test for agent  reboot.,,2.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-08,MESOS-8415,0,0,30.25,Chun-Hung Hsiao,2
Killing a queued task can lead to the command executor never terminating.,agent,5.0,Critical,Bug,2018,1,5,Mesos,Resolved,2018-01-08,MESOS-8411,0,1,36.2,Meng Zhu,0
Reconfiguration policy fails to handle mount disk resources.,,3.0,Blocker,Bug,2018,1,4,Mesos,Resolved,2018-01-06,MESOS-8410,5,0,6.76,Benno Evers,0
Add an SLRP test for agent registered with a new ID.,,2.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-06,MESOS-8409,5,0,26.24,Chun-Hung Hsiao,2
Add an SLRP test for CSI plugin restart.,,3.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-05,MESOS-8408,4,0,14.09,Chun-Hung Hsiao,2
Add SLRP unit tests for profile updates and corner cases.,,3.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-05,MESOS-8407,4,0,14.14,Chun-Hung Hsiao,2
Add agent HTTP API operator call to mark local resource providers as gone,"agent,storage",3.0,Critical,Improvement,2018,1,3,Mesos,Resolved,2018-01-05,MESOS-8403,4,2,377.79,Benjamin Bannier,1
Resource provider manager should persist resource provider information,storage,8.0,Major,Improvement,2018,1,3,Mesos,Resolved,2018-01-05,MESOS-8402,4,1,116.45,Benjamin Bannier,1
Use unique ID for CSI plugin containers in SLRP.,,3.0,Major,Bug,2018,1,2,Mesos,Resolved,2018-01-05,MESOS-8399,4,0,297.83,Chun-Hung Hsiao,2
Made gRPC a requirement for Mesos builds.,,5.0,Blocker,Task,2018,1,3,Mesos,Resolved,2018-01-04,MESOS-8395,3,0,211.12,Chun-Hung Hsiao,2
Bump CSI to 0.1.0,,2.0,Blocker,Task,2018,1,2,Mesos,Resolved,2018-01-04,MESOS-8394,3,0,0.33,Chun-Hung Hsiao,2
SLRP NewVolumeRecovery and LaunchTaskRecovery tests CHECK failures.,,2.0,Blocker,Bug,2018,1,1,Mesos,Resolved,2018-01-04,MESOS-8393,3,0,7.23,Chun-Hung Hsiao,2
Mesos agent doesn't notice that a pod task exits or crashes after the agent restart,"agent,containerization,executor",3.0,Blocker,Bug,2018,1,8,Mesos,Resolved,2018-01-04,MESOS-8391,3,3,8.96,Andrei Budnik,0
"Notion of ""transitioning"" agents in the master is now inaccurate.",master,3.0,Major,Improvement,2018,1,2,Mesos,Resolved,2018-01-04,MESOS-8390,3,1,8.05,Benjamin Mahler,0
"Notion of ""removable"" task in master code is inaccurate.",master,5.0,Major,Improvement,2018,1,2,Mesos,Resolved,2018-01-04,MESOS-8389,3,1,19.12,Benjamin Mahler,0
Show LRP resources in master and agent endpoints.,master,2.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-03,MESOS-8388,2,1,75.52,Benjamin Bannier,0
Add metrics for operations in Storage Local Resource Provider (SLRP).,,3.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-03,MESOS-8383,2,0,148.13,Chun-Hung Hsiao,2
Master should bookkeep local resource providers.,,5.0,Major,Task,2018,1,4,Mesos,Resolved,2018-01-03,MESOS-8382,2,0,69.6,Benjamin Bannier,2
Update WebUI to show local resource providers.,,2.0,Critical,Improvement,2018,1,2,Mesos,Resolved,2018-01-03,MESOS-8380,2,0,372.44,Benjamin Bannier,0
Use protobuf reflection to simplify upgrading of resources.,,3.0,Blocker,Task,2018,1,4,Mesos,Resolved,2018-01-03,MESOS-8375,2,0,8.11,Michael Park,0
Test reconciliation after operation is dropped en route to agent,"agent,master",3.0,Major,Task,2018,1,2,Mesos,Resolved,2018-01-03,MESOS-8373,2,2,35.4,Greg Mann,1
Create AuthN support for prune images API,image-gc,3.0,Major,Improvement,2017,12,2,Mesos,Resolved,2017-12-28,MESOS-8365,3,1,2.68,Zhitao Li,3
Verify that the master acknowledges operation status updates correctly,,5.0,Major,Task,2017,12,1,Mesos,Resolved,2017-12-28,MESOS-8363,3,0,23.0,Gastón Kleiman,1
Verify end-to-end operation status update retry after RP failover,,5.0,Major,Task,2017,12,3,Mesos,Resolved,2017-12-28,MESOS-8362,3,0,23.01,Gastón Kleiman,1
Example frameworks to support launching mesos-local.,framework,3.0,Minor,Improvement,2017,12,2,Mesos,Resolved,2017-12-27,MESOS-8361,2,1,34.21,Till Toenshoff,1
Add operator API 'PRUNE_IMAGES' for manual container image GC.,image-gc,3.0,Major,Improvement,2017,12,1,Mesos,Resolved,2017-12-27,MESOS-8360,2,1,0.01,Zhitao Li,3
Create agent endpoints for pruning images,,5.0,Major,Task,2017,12,2,Mesos,Resolved,2017-12-23,MESOS-8358,5,0,10.74,Zhitao Li,0
Example frameworks have an inconsistent UX.,,3.0,Minor,Improvement,2017,12,4,Mesos,Resolved,2017-12-22,MESOS-8357,4,0,39.28,Till Toenshoff,1
Resources may get over allocated to some roles while fail to meet the quota of other roles.,allocation,3.0,Major,Bug,2017,12,1,Mesos,Resolved,2017-12-21,MESOS-8352,3,1,1.8,Meng Zhu,2
Resource provider-capable agents not correctly synchronizing checkpointed agent resources on reregistration,master,2.0,Critical,Bug,2017,12,4,Mesos,Resolved,2017-12-20,MESOS-8350,2,1,14.92,Benjamin Bannier,0
"When a resource provider driver is disconnected, it fails to reconnect.",,2.0,Major,Bug,2017,12,3,Mesos,Resolved,2017-12-20,MESOS-8349,2,0,7.34,Benjamin Bannier,1
Resubscription of a resource provider will crash the agent if its HTTP connection isn't closed,,2.0,Blocker,Bug,2017,12,4,Mesos,Resolved,2017-12-19,MESOS-8346,1,0,2.19,Jan Schlicht,1
Improve JSON v1 operator API performance.,HTTP API,2.0,Major,Improvement,2017,12,3,Mesos,Resolved,2017-12-19,MESOS-8344,1,1,29.79,Meng Zhu,1
Agent can become stuck in (re-)registering state during upgrades,,3.0,Major,Bug,2017,12,2,Mesos,Resolved,2017-12-18,MESOS-8341,0,0,15.34,Benno Evers,0
Quota headroom may be insufficiently held when role has more reservation than quota.,allocation,3.0,Major,Bug,2017,12,1,Mesos,Resolved,2017-12-15,MESOS-8339,4,1,3.25,Meng Zhu,1
MasterTest.RegistryUpdateAfterReconfiguration is flaky,,1.0,Major,Bug,2017,12,4,Mesos,Resolved,2017-12-15,MESOS-8336,4,0,74.97,Benno Evers,1
Improve logs displayed after a slave failed recovery.,,2.0,Minor,Improvement,2017,12,2,Mesos,Resolved,2017-12-13,MESOS-8328,2,0,6.13,Armand Grillet,0
Add container-specific CGroup FS mounts under /sys/fs/cgroup/* to Mesos containers,containerization,13.0,Critical,Task,2017,12,4,Mesos,Resolved,2017-12-13,MESOS-8327,2,1,194.63,Qian Zhang,0
Mesos containerizer does not properly handle old running containers,"agent,containerization",2.0,Blocker,Bug,2017,12,2,Mesos,Resolved,2017-12-12,MESOS-8325,1,2,0.31,Zhitao Li,4
Tests that fetch docker images might be flaky due to insufficient wait timeout.,test,2.0,Major,Bug,2017,12,2,Mesos,Resolved,2017-12-08,MESOS-8316,4,1,0.13,Alex R,2
Add authorization to display of resource provider information in API calls and endpoints,"agent,HTTP API,master",3.0,Major,Task,2017,12,2,Mesos,Resolved,2017-12-08,MESOS-8314,4,3,236.36,Benjamin Bannier,1
Pass resource provider information to master as part of UpdateSlaveMessage,,5.0,Major,Bug,2017,12,2,Mesos,Resolved,2017-12-07,MESOS-8312,3,0,0.83,Benjamin Bannier,0
Document container image garbage collection.,"containerization,image-gc,provisioner",2.0,Major,Documentation,2017,12,2,Mesos,Resolved,2017-12-07,MESOS-8310,3,3,23.8,Zhitao Li,3
Introduce a UUID message type,,3.0,Major,Task,2017,12,4,Mesos,Resolved,2017-12-07,MESOS-8309,3,0,7.35,Jan Schlicht,1
Update CHANGELOG to call out agent reconfiguration feature,,1.0,Major,Documentation,2017,12,1,Mesos,Resolved,2017-12-05,MESOS-8304,1,0,27.82,Benno Evers,0
Add user doc for agent reconfiguration,,3.0,Major,Documentation,2017,12,2,Mesos,Resolved,2017-12-05,MESOS-8303,1,0,27.82,Benno Evers,0
Built-in driver-based executors ignore kill task if the task has not been launched.,executor,5.0,Blocker,Bug,2017,12,5,Mesos,Resolved,2017-12-04,MESOS-8297,0,1,18.03,Alex R,1
Add excluded image parameter to containerizer::pruneImages() interface.,"containerization,image-gc",2.0,Major,Improvement,2017,12,2,Mesos,Resolved,2017-12-02,MESOS-8295,5,2,5.67,Gilbert Song,4
Support container image basic auto gc.,"containerization,image-gc,provisioner",8.0,Major,Improvement,2017,12,2,Mesos,Resolved,2017-12-02,MESOS-8294,5,3,5.67,Gilbert Song,4
Reservation may not be allocated when the role has no quota.,allocation,3.0,Critical,Bug,2017,12,2,Mesos,Resolved,2017-12-01,MESOS-8293,4,1,14.11,Meng Zhu,1
Add documentation about fault domains,,3.0,Major,Documentation,2017,12,1,Mesos,Resolved,2017-12-01,MESOS-8291,4,0,62.95,Benno Evers,0
ReservationTest.MasterFailover is flaky when run with `RESOURCE_PROVIDER` capability.,test,3.0,Major,Bug,2017,12,2,Mesos,Resolved,2017-12-01,MESOS-8289,4,1,4.88,Jan Schlicht,3
SlaveTest.IgnoreV0ExecutorIfItReregistersWithoutReconnect is flaky.,test,3.0,Major,Bug,2017,12,3,Mesos,Resolved,2017-12-01,MESOS-8288,4,1,4.4,Benjamin Mahler,1
Mesos Containerizer GC should set 'layers' after checkpointing layer ids in provisioner.,"image-gc,provisioner",3.0,Critical,Bug,2017,11,3,Mesos,Resolved,2017-11-30,MESOS-8280,3,2,7.7,Zhitao Li,5
Persistent volumes are not visible in Mesos UI using default executor on Linux.,,3.0,Major,Bug,2017,11,6,Mesos,Resolved,2017-11-29,MESOS-8279,2,0,48.15,Qian Zhang,0
Add an agent endpoint to list all active resource providers,agent,3.0,Major,Task,2017,11,3,Mesos,Resolved,2017-11-28,MESOS-8270,1,1,10.12,Jan Schlicht,1
Support resource provider re-subscription in the resource provider manager,,3.0,Major,Task,2017,11,1,Mesos,Resolved,2017-11-28,MESOS-8269,1,0,8.99,Jan Schlicht,1
NestedMesosContainerizerTest.ROOT_CGROUPS_RecoverLauncherOrphans is flaky.,test,2.0,Major,Bug,2017,11,2,Mesos,Resolved,2017-11-27,MESOS-8267,0,1,22.34,Andrei Budnik,1
Add state recovery for storage local resource provider.,,3.0,Major,Task,2017,11,0,Mesos,Resolved,2017-11-27,MESOS-8265,0,0,25.93,Chun-Hung Hsiao,2
ResourceProviderManagerHttpApiTest.ConvertResources is flaky,flaky,2.0,Major,Bug,2017,11,2,Mesos,Resolved,2017-11-23,MESOS-8263,3,1,0.49,Jan Schlicht,2
Mesos.DockerContainerizerTest.ROOT_DOCKER_SlaveRecoveryTaskContainer is flaky.,test,2.0,Major,Bug,2017,11,4,Mesos,Resolved,2017-11-23,MESOS-8258,3,1,118.08,Andrei Budnik,1
"Introduce a way to resolve the ""profile"" for disk resources",,3.0,Major,Task,2017,11,1,Mesos,Resolved,2017-11-21,MESOS-8251,1,0,28.1,Joseph Wu,2
SlaveRecoveryTest/0.ReconnectExecutor is flaky.,test,3.0,Major,Bug,2017,11,2,Mesos,Resolved,2017-11-17,MESOS-8245,4,1,26.33,Benno Evers,1
Add operator API to reload local resource providers.,,5.0,Major,Task,2017,11,3,Mesos,Resolved,2017-11-17,MESOS-8244,4,0,35.65,Chun-Hung Hsiao,2
Add metrics for offer operation feedback,,5.0,Blocker,Task,2017,11,3,Mesos,Resolved,2017-11-16,MESOS-8241,3,0,498.1,Benno Evers,3
Add an option to build the new CLI and run unit tests.,cli,8.0,Major,Improvement,2017,11,7,Mesos,Resolved,2017-11-15,MESOS-8240,2,1,147.6,Armand Grillet,0
Strip (Offer|Resource).allocation_info for non-MULTI_ROLE schedulers.,,5.0,Major,Bug,2017,11,5,Mesos,Resolved,2017-11-15,MESOS-8237,2,0,16.15,Benjamin Mahler,1
Add resource versions to RunTaskMessage,"agent,master",3.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-14,MESOS-8222,1,2,23.67,Benjamin Bannier,1
Use protobuf reflection to simplify downgrading of resources.,agent,5.0,Blocker,Improvement,2017,11,5,Mesos,Resolved,2017-11-14,MESOS-8221,1,1,49.54,Michael Park,0
Validate that any offer operation is only applied on resources from a single provider,master,1.0,Major,Task,2017,11,5,Mesos,Resolved,2017-11-14,MESOS-8219,1,1,50.84,Jan Schlicht,0
Support `RESERVE`/`CREATE` operations with resource providers,,5.0,Major,Task,2017,11,1,Mesos,Resolved,2017-11-14,MESOS-8218,1,0,9.25,Jan Schlicht,1
Handle agent local resources in offer operation handler,agent,5.0,Major,Task,2017,11,1,Mesos,Resolved,2017-11-13,MESOS-8211,0,1,10.18,Jan Schlicht,1
"Reconcile offer operations between resource providers, agents, and master","agent,master,storage",2.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-10,MESOS-8207,4,3,23.89,Benjamin Bannier,1
Add the pip-requirements from other modules to the pylint virtual environment,,3.0,Major,Improvement,2017,11,2,Mesos,Resolved,2017-11-10,MESOS-8206,4,0,293.73,Armand Grillet,0
Add end to end tests for offer operation feedback,,8.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8201,3,0,294.9,Gastón Kleiman,1
"Add plumbing for explicit offer operation reconciliation between master, agent, and RPs.",,2.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8199,3,0,28.28,Greg Mann,1
Update the ReconcileOfferOperations protos,,1.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8198,3,0,19.23,Greg Mann,1
Implement a library to send offer operation status updates,,8.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8197,3,0,28.31,Gastón Kleiman,1
Propagate failures from applying offer operations from resource providers,,3.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8196,3,0,4.09,Benjamin Bannier,2
"Implement explicit offer operation reconciliation between the master, agent and RPs.",,3.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8195,3,0,40.75,Greg Mann,1
Update master’s OfferOperationStatusUpdate handler to acknowledge updates to the agent if OfferOperationID is not set.,,2.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8193,3,0,29.14,Greg Mann,1
Update the scheduler library to support request/response API calls.,,5.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8192,3,0,165.82,Gastón Kleiman,1
Implement ReconcileOfferOperations handler in the master,,5.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8191,3,0,165.83,Gastón Kleiman,1
Update the master to accept OfferOperationIDs from frameworks.,,3.0,Major,Task,2017,11,3,Mesos,Resolved,2017-11-09,MESOS-8190,3,0,134.27,Greg Mann,1
Master’s OperationStatusUpdate handler should forward updates to the framework when OfferOperationID is set.,,2.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8189,3,0,134.28,Gastón Kleiman,1
"Enable LRP to send operation status updates, checkpoint, and retry using the SUM",,8.0,Major,Task,2017,11,1,Mesos,Resolved,2017-11-09,MESOS-8187,3,0,40.77,Chun-Hung Hsiao,1
Implement the agent's AcknowledgeOfferOperationMessage handler.,,3.0,Major,Task,2017,11,2,Mesos,Resolved,2017-11-09,MESOS-8186,3,0,29.16,Greg Mann,1
Implement master's AcknowledgeOfferOperationMessage handler.,,5.0,Major,Task,2017,11,4,Mesos,Resolved,2017-11-09,MESOS-8184,3,0,134.29,Gastón Kleiman,1
Add a container daemon to monitor a long-running standalone container.,agent,3.0,Major,Task,2017,11,0,Mesos,Resolved,2017-11-08,MESOS-8183,2,1,21.17,Chun-Hung Hsiao,1
Scheduler library has incorrect assumptions about connections.,scheduler driver,1.0,Critical,Bug,2017,11,2,Mesos,Resolved,2017-11-07,MESOS-8179,1,1,1.67,Alex R,1
Using a failoverTimeout of 0 with Mesos native scheduler client can result in infinite subscribe loop,"c++ api,java api,scheduler driver",2.0,Minor,Bug,2017,11,5,Mesos,Resolved,2017-11-04,MESOS-8171,5,3,28.59,Meng Zhu,1
Review #62775 broke the build,,1.0,Critical,Bug,2017,11,2,Mesos,Resolved,2017-11-01,MESOS-8157,2,0,1.13,Qian Zhang,0
Add a mock resource provider manager.,,3.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-28,MESOS-8144,5,0,55.93,Chun-Hung Hsiao,1
Publish and unpublish storage local resources through CSI plugins.,storage,3.0,Major,Task,2017,10,0,Mesos,Resolved,2017-10-28,MESOS-8143,5,1,55.94,Chun-Hung Hsiao,2
Add filesystem layout for storage resource providers.,storage,3.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-27,MESOS-8141,4,1,33.08,Chun-Hung Hsiao,2
Masters can lose track of tasks' executor IDs.,agent,4.0,Major,Bug,2017,10,2,Mesos,Resolved,2017-10-25,MESOS-8135,2,1,7.95,Gastón Kleiman,2
Design a library to send offer operation status updates,,3.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-25,MESOS-8132,2,0,21.15,Greg Mann,1
Add new protobuf messages for offer operation feedback,,2.0,Major,Task,2017,10,3,Mesos,Resolved,2017-10-25,MESOS-8131,2,0,5.15,Greg Mann,1
Add placeholder handlers for offer operation feedback,"agent,master",2.0,Major,Task,2017,10,2,Mesos,Resolved,2017-10-25,MESOS-8130,2,2,5.17,Greg Mann,1
Make os::pipe file descriptors O_CLOEXEC.,stout,3.0,Critical,Bug,2017,10,8,Mesos,Resolved,2017-10-24,MESOS-8128,1,1,297.04,James Peach,1
Agent should properly handle recovering an executor when its pid is reused,docker,2.0,Critical,Bug,2017,10,8,Mesos,Resolved,2017-10-23,MESOS-8125,0,1,99.08,Qian Zhang,0
GPU tests are failing due to TASK_STARTING.,test,1.0,Major,Bug,2017,10,2,Mesos,Resolved,2017-10-21,MESOS-8123,5,1,23.62,Benno Evers,2
Unified Containerizer Auto backend should check xfs ftype for overlayfs backend.,containerization,3.0,Major,Bug,2017,10,3,Mesos,Resolved,2017-10-20,MESOS-8121,4,1,40.14,Meng Zhu,2
ROOT_DOCKER_DockerHealthyTask segfaults in debian 8.,test,3.0,Major,Bug,2017,10,2,Mesos,Resolved,2017-10-20,MESOS-8119,4,1,39.59,Alex R,2
Add a master flag to disallow agents that are not configured with fault domain,,3.0,Major,Improvement,2017,10,3,Mesos,Resolved,2017-10-20,MESOS-8115,4,0,74.38,Benno Evers,0
Process offer operations in storage local resource provider,storage,3.0,Major,Task,2017,10,0,Mesos,Resolved,2017-10-18,MESOS-8108,2,1,65.91,Chun-Hung Hsiao,1
Add a call to update total resources in the resource provider API.,,3.0,Major,Task,2017,10,2,Mesos,Resolved,2017-10-17,MESOS-8107,1,0,11.77,Chun-Hung Hsiao,1
Docker fetcher plugin unsupported scheme failure message is not accurate.,containerization,3.0,Major,Improvement,2017,10,2,Mesos,Resolved,2017-10-17,MESOS-8106,1,1,247.08,He yihua,2
Add a test CSI plugin for storage local resource provider.,test,5.0,Major,Task,2017,10,0,Mesos,Resolved,2017-10-17,MESOS-8102,1,1,66.91,Chun-Hung Hsiao,2
Import resources from CSI plugins in storage local resource provider.,storage,5.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-17,MESOS-8101,1,1,66.92,Chun-Hung Hsiao,2
Authorize standalone container calls from local resource providers.,agent,5.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-16,MESOS-8100,0,1,44.06,Chun-Hung Hsiao,2
Add protobuf for checkpointing resource provider states.,,2.0,Major,Task,2017,10,0,Mesos,Resolved,2017-10-16,MESOS-8099,0,0,66.35,Chun-Hung Hsiao,1
Add filesystem layout for local resource providers.,agent,2.0,Major,Task,2017,10,2,Mesos,Resolved,2017-10-16,MESOS-8097,0,1,44.24,Chun-Hung Hsiao,2
ResourceProviderRegistrarTest.AgentRegistrar is flaky.,test,2.0,Major,Bug,2017,10,2,Mesos,Resolved,2017-10-14,MESOS-8095,5,1,2.13,Benjamin Bannier,2
Some tests miss subscribed event because expectation is set after event fires.,"scheduler driver,test",2.0,Major,Bug,2017,10,2,Mesos,Resolved,2017-10-14,MESOS-8093,5,2,24.33,Armand Grillet,2
Add messages to publish resources on a resource provider,,7.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-13,MESOS-8089,4,0,41.13,Jan Schlicht,2
Introduce Lamport timestamp for offer operations.,,2.0,Major,Task,2017,10,3,Mesos,Resolved,2017-10-13,MESOS-8088,4,0,75.63,Benjamin Bannier,1
Add operation status update handler in Master.,,5.0,Major,Task,2017,10,1,Mesos,Resolved,2017-10-13,MESOS-8087,4,0,32.55,Jan Schlicht,2
Double free corruption in tests due to parallel manipulation of signal and control handlers.,,3.0,Major,Bug,2017,10,2,Mesos,Resolved,2017-10-12,MESOS-8084,3,0,1.28,Dmitry Zhuk,1
